id,name,type,desc,atk,def,level,attribute
95504778,Triggering Wurm,Effect Monster,"If this card is sent to the GY as Link Material for the Link Summon of a DARK monster: You can Special Summon this card from your GY in Attack Position, to your zone that Link Monster points to, but it cannot be used as Link Material. If this card is destroyed or banished by an effect activated by a Link Monster: Draw 1 card. You can only use each effect of ""Triggering Wurm"" once per turn.",600,600,2,DARK
54936498,Influence Dragon,Tuner Monster,Once per turn: You can target 1 face-up monster you control,300,900,3,WIND
45112597,Worldsea Dragon Zealantis,Link Monster,"1+ Effect Monsters
You can only control 1 ""Worldsea Dragon Zealantis"". You can only use each of the following effects of ""Worldsea Dragon Zealantis"" once per turn. During your Main Phase: You can banish all monsters on the field, then Special Summon as many monsters as possible that were banished by this effect, to their owners' fields, face-up, or in face-down Defense Position. During the Battle Phase (Quick Effect): You can destroy cards on the field up to the number of co-linked monsters on the field.",2500,,,WATER
81179446,Kattapillar,Normal Monster,"Attacks enemies by spitting thin, sticky webs.",250,300,1,EARTH
92970404,Subterror Behemoth Ultramafus,Flip Effect Monster,"FLIP: You can change all other face-up monsters on the field to face-down Defense Position. You can only use this effect of ""Subterror Behemoth Ultramafus"" once per turn.
When a face-up monster you control is flipped face-down, if you control no face-up monsters: You can Special Summon this card from your hand in Defense Position. Once per turn: You can change this card to face-down Defense Position.",3000,1800,12,EARTH
76348260,Mimir of the Nordic Ascendant,Effect Monster,"Once per turn, at the start of your Standby Phase, if you control a ""Nordic"" monster and this card is in your GY: You can send 1 Spell from your hand to the GY; Special Summon this card.",600,0,2,DARK
66413481,Fire King Avatar Yaksha,Effect Monster,"If a face-up ""Fire King"" monster you control is destroyed by a card effect (except during the Damage Step): You can Special Summon this card from your hand. If this card is destroyed and sent to the Graveyard: You can destroy 1 card in your hand or that you control. You can only use this effect of ""Fire King Avatar Yaksha"" once per turn.",1800,200,4,FIRE
83725008,"Jenis, Lightsworn Mender",Effect Monster,"During the End Phase, if a card(s) was sent from your Deck to the Graveyard by the effect of a ""Lightsworn"" card this turn: Inflict 500 damage to your opponent, and if you do, gain 500 LP.",300,2100,4,LIGHT
54455664,Dragunity Brandistock,Tuner Monster,"While this card is equipped to a monster, that monster can attack twice during each Battle Phase.",600,400,1,WIND
23639291,Raging Cloudian,Trap Card,"Activate only when a ""Cloudian"" monster(s) you control is destroyed by its own effect and sent to the Graveyard. Special Summon 1 of those monsters from your Graveyard in Attack Position and place 1 Fog Counter on it. It cannot be changed to Defense Position by a card effect.",,,,TRAP
46815301,"Askaan, the Bicorned Ghoti",Synchro Monster,"1 Tuner + 1+ non-Tuner monsters
If this card is Synchro Summoned: You can target 1 Fish monster you control and 1 card your opponent controls; banish them. If this card is banished: You can banish 1 Fish monster from your GY; Special Summon this card. You can only use each effect of ""Askaan, the Bicorned Ghoti"" once per turn.",2700,0,8,WATER
39711336,Fushioh Richie,Effect Monster,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned from your hand or your Deck by Tributing 1 ""Great Dezard"" that has fulfilled the condition. You can flip this card into face-down Defense Position once per turn during your Main Phase. As long as this monster remains face-up on the field, negate the activation and effects of all Spell and Trap Cards that target this card and destroy them. When this card is flipped face-up, you can Special Summon 1 Zombie-Type monster from your Graveyard.",2600,2900,7,DARK
38898779,Colossal Fighter/Assault Mode,Effect Monster,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except with ""Assault Mode Activate"". When this card is Special Summoned, you can send up to 2 Warrior-Type monsters from your Deck to the Graveyard. All monsters your opponent controls lose 100 ATK for every Warrior-Type monster in your Graveyard. When this card on the field is destroyed, you can Special Summon 1 ""Colossal Fighter"" from your Graveyard.",3300,1500,10,DARK
4423206,M-X-Saber Invoker,XYZ Monster,"2 Level 3 monsters
Once per turn: You can detach 1 material from this card; Special Summon 1 Level 4 EARTH Warrior or Beast-Warrior monster from your Deck, in Defense Position, but destroy it during the End Phase.",1600,500,3,EARTH
99597615,Malevolent Nuzzler,Spell Card,The equipped monster gains 700 ATK. When this card is sent from the field to the Graveyard: You can pay 500 LP,,,,SPELL
20934852,Marincess Aqua Argonaut,Link Monster,"2+ WATER monsters
Your opponent's monsters cannot attack other monsters while this card is in the Extra Monster Zone. You can only use each of the following effects of ""Marincess Aqua Argonaut"" once per turn. You can target 1 WATER monster you control and 1 card your opponent controls; return them to the hand. When a Spell/Trap Card or effect is activated on the field during your opponent's turn (Quick Effect): You can Special Summon 1 of your ""Marincess"" Monster Cards equipped to this card, and if you do, negate that activated effect.",2300,,,WATER
14087893,Book of Moon,Spell Card,Target 1 face-up monster on the field,,,,SPELL
36261276,Interdimensional Matter Transporter,Trap Card,Target 1 face-up monster you control,,,,TRAP
6850209,A Deal with Dark Ruler,Spell Card,"(This card is always treated as an ""Archfiend"" card.)
If a Level 8 or higher monster under your control was sent to the Graveyard this turn: Special Summon 1 ""Berserk Dragon"" from your hand or Deck.",,,,SPELL
52277807,Salamangreat Spinny,Effect Monster,"If you control a ""Salamangreat"" card: You can discard this card, then target 1 face-up monster on the field; it gains 500 ATK until the end of this turn. If you control a ""Salamangreat"" monster other than ""Salamangreat Spinny"" and this card is in your GY: You can Special Summon this card, but banish it when it leaves the field. You can only use each effect of ""Salamangreat Spinny"" once per turn.",1000,1500,3,FIRE
9411399,Destiny HERO - Malicious,Effect Monster,"You can banish this card from your GY; Special Summon 1 ""Destiny HERO - Malicious"" from your Deck.",800,800,6,DARK
41098335,Ape Fighter,Effect Monster,"If this card destroys an opponent's monster by battle: This card gains 300 ATK. If this card does not attack during your turn, the ATK gained from this effect returns to 0 during the End Phase of that turn.",1900,1200,4,DARK
26993374,X-Saber Uruz,Effect Monster,"When this card destroys an opponent's monster by battle and sends it to the Graveyard, you can Tribute this card to return the destroyed card to the top of its owner's Deck.",1600,1000,4,EARTH
26988374,Magikey Deity - Ashtartu,XYZ Monster,"2 Level 8 monsters
Once per turn, when your Normal Monster or ""Magikey"" monster destroys an opponent's monster by battle: You can detach 1 material from this card; inflict damage to your opponent equal to the destroyed monster's original ATK. Once per turn, during your opponent's Main Phase (Quick Effect): You can target 1 monster your opponent controls with the same Attribute as a Normal Monster or ""Magikey"" monster you control or is in your GY; detach 1 material from this card, and if you do, banish that monster.",3000,3000,8,LIGHT
41524885,Exosister Asophiel,XYZ Monster,"2 Level 4 monsters
Cannot be destroyed by the activated effects of monsters Special Summoned from the GY. You can only use each of the following effects of ""Exosister Asophiel"" once per turn. If this card is Xyz Summoned using an ""Exosister"" monster as material: Neither player can activate card effects in the GY this turn. You can detach 1 material from this card, then target 1 monster your opponent controls; return it to the hand.",2100,1800,4,LIGHT
33031674,Incandescent Ordeal,Spell Card,"This card is used to Ritual Summon ""Legendary Flame Lord"". You must also Tribute monsters whose total Levels equal 7 or more from the field or your hand.",,,,SPELL
67049542,Dark Bat,Normal Monster,Bats from the netherworld that use their hyper senses to detect their enemies.,1000,1000,3,WIND
90432163,The Phantom Knights of Ancient Cloak,Effect Monster,"If this card is in Attack Position: You can target 1 DARK monster on the field; change this card to Defense Position, and if you do, that monster gains 800 ATK/DEF until the end of your opponent's turn. You can banish this card from your GY; add 1 ""The Phantom Knights"" card from your Deck to your hand, except ""The Phantom Knights of Ancient Cloak"". You can only use each effect of ""The Phantom Knights of Ancient Cloak"" once per turn.",800,1000,3,DARK
20201255,Gladiator Beast's Comeback,Spell Card,"Special Summon 1 ""Gladiator Beast"" monster from your hand or GY, with a different Type from the monsters you control. It cannot be destroyed by battle.",,,,SPELL
28325165,Aqua Story - Urashima,Trap Card,"If you have an ""Aquaactress"" monster in your Graveyard: Target 1 monster on the field; until the end of this turn, its effects are negated, its ATK and DEF become 100, also it is unaffected by your opponent's card effects.",,,,TRAP
77133792,Magnet Conversion,Trap Card,"Target up to 3 Level 4 or lower ""Magnet Warrior"" monsters in your Graveyard; add them to your hand. During either player's turn, except the turn this card was sent to the Graveyard: You can banish this card from your Graveyard, then target 1 of your banished Level 4 or lower ""Magnet Warrior"" monsters; Special Summon it.",,,,TRAP
83258273,Robbin' Zombie,Trap Card,If your monster inflicts battle damage to your opponent: Send the top card of their Deck to the GY.,,,,TRAP
55838342,Crusadia Krawler,Trap Card,"Special Summon this card as an Effect Monster (Insect/EARTH/Level 2/ATK 300/DEF 2100). (This card is also still a Trap.) If this card is Special Summoned by this effect to a zone a Link Monster points to: You can add 1 ""World Legacy"" card from your Deck to your hand.",,,,TRAP
70771599,Supreme King Dragon Clear Wing,Synchro Monster,"1 Tuner + 1+ non-Tuner DARK Pendulum Monsters
If this card is Synchro Summoned: You can destroy all face-up monsters your opponent controls. Once per turn, before damage calculation, if this card battles an opponent's monster: You can destroy that monster, and if you do, inflict damage to your opponent equal to the destroyed monster's original ATK. If this card is in your GY: You can Tribute 2 ""Supreme King Dragon"" monsters; Special Summon this card.",2500,2000,8,DARK
14469229,Crystal Keeper,Pendulum Effect Monster,"[ Pendulum Effect ] 
Each turn, the first time an ""Ultimate Crystal"" monster(s) and/or ""Crystal Beast"" card(s) you control would be destroyed by card effect that turn, it is not destroyed.
[ Monster Effect ] 
If a ""Crystal Beast"" monster you control battles an opponent's monster, during damage calculation (Quick Effect): You can Tribute this card from your hand or face-up field; your battling monster's ATK/DEF become double its original ATK/DEF during that damage calculation only, but it is destroyed at the end of this Damage Step.",1500,1800,4,FIRE
80168720,Darkness Approaches,Spell Card,Discard 2 cards from your hand. Select 1 face-up monster and change it to face-down Defense Position.,,,,SPELL
45586855,Ally of Justice Cyclone Creator,Tuner Monster,"Once per turn, you can discard 1 card from your hand to return Spell/Trap Cards from the field to the hand equal to the number of face-up Tuner monsters on the field.",1400,1200,3,DARK
97809599,Seal of the Ancients,Spell Card,"Pay 1000 Life Points. Pick up and see all face-down cards on your opponent's side of the field, then return them to their original positions. (The effects of the face-down cards are not activated.)",,,,SPELL
48806195,"Therion ""Empress"" Alasia",Effect Monster,"You can only use each of the following effects of ""Therion ""Empress"" Alasia"" once per turn.
● You can target 1 ""Therion"" monster or 1 Reptile monster in your GY; Special Summon this card from your hand, and if you do, equip that monster to this card.
● You can discard 1 card, then target 1 ""Therion"" Monster Card in your Spell & Trap Zone; Special Summon it.
A ""Therion"" monster equipped with this card gains 700 ATK, also it can activate the 2nd effect listed above as if it were ""Therion ""Empress"" Alasia"".",2100,2500,8,EARTH
1828513,Shadow of the Six Samurai - Shien,XYZ Monster,"2 Level 4 ""Six Samurai"" monsters
Once per turn (Quick Effect): You can detach 1 material from this card, then target 1 ""Six Samurai"" monster you control with less than 2000 ATK; its original ATK becomes 2000 until the end of this turn.",2500,400,4,EARTH
65458948,Toon Mermaid,Toon Monster,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand), while you control ""Toon World"". Cannot attack the turn it is Special Summoned. You must pay 500 LP to declare an attack with this monster. If ""Toon World"" on the field is destroyed, destroy this card. Can attack your opponent directly, unless they control a Toon monster, in which case this card must target a Toon monster for its attacks.",1400,1500,4,WATER
94418111,Magical Musketeer Wild,Effect Monster,"During either player's turn, you can activate ""Magical Musket"" Spell/Trap Cards from your hand. If a Spell/Trap Card is activated in this card's column: You can target 3 ""Magical Musket"" cards in your GY; shuffle all 3 into the Deck, then draw 1 card. You can only use this effect of ""Magical Musketeer Wild"" once per turn.",1700,900,4,LIGHT
49513164,Invoked Raidjin,Fusion Monster,"""Aleister the Invoker"" + 1 WIND monster
Once per turn, during either player's turn: You can target 1 face-up monster on the field; change it to face-down Defense Position.",2200,2400,5,WIND
27527047,Secret Guards of the Ice Barrier,Effect Monster,"Face-up ""Ice Barrier"" monsters you control cannot be targeted by effects of your opponent's Effect Monsters.",100,1600,2,WATER
57030525,Armed Dragon Thunder LV3,Effect Monster,"This card's name becomes ""Armed Dragon LV3"" while on the field or in the GY. You can only use each of the following effects of ""Armed Dragon Thunder LV3"" once per turn. You can send 1 monster from your hand to the GY; send this card from the field to the GY, and if you do, Special Summon 1 Level 5 or lower ""Armed Dragon"" monster from your hand or Deck. If this card is sent to the GY to activate a Dragon monster's effect: You can draw 1 card.",1200,900,3,WIND
37440988,Rainbow Overdragon,Fusion Monster,"7 ""Crystal Beast"" monsters
(This card is always treated as an ""Ultimate Crystal"" card.)
Must be either Fusion Summoned, or Special Summoned by Tributing 1 Level 10 ""Ultimate Crystal"" monster (in which case you do not use ""Polymerization""). Once per turn: You can banish 1 ""Crystal Beast"" monster from your GY; this card gains ATK equal to the banished monster's, until the end of this turn. (Quick Effect): You can Tribute this Fusion Summoned card; shuffle all cards on the field into the Deck.",4000,0,12,LIGHT
89789152,Tachyon Spiral Galaxy,Trap Card,"Target 1 Dragon ""Galaxy"" monster you control; until the end of this turn, it cannot be destroyed by battle, also it is unaffected by other card effects, except its own. You can only activate 1 ""Tachyon Spiral Galaxy"" per turn. If you control a ""Galaxy-Eyes Tachyon Dragon"" monster, you can activate this card from your hand.",,,,TRAP
33977496,Thousand Needles,Effect Monster,"When this Defense Position card is attacked and if the DEF of this card is higher than the ATK of the attacking monster, destroy the attacking monster at the end of the Damage Step.",1000,1800,4,EARTH
44308317,Speaker for the Ice Barriers,Effect Monster,"While you control another ""Ice Barrier"" monster, Defense Position monsters your opponent controls cannot change their battle positions. You can only use each of the following effects of ""Speaker for the Ice Barriers"" once per turn. If you control an ""Ice Barrier"" monster: You can Special Summon this card from your hand. If you control an ""Ice Barrier"" monster: You can banish this card from your GY; Special Summon 1 ""Ice Barrier Token"" (Aqua/WATER/Level 1/ATK 0/DEF 0).",1000,1800,4,WATER
70917315,Amorphage Lechery,Pendulum Effect Monster,"[ Pendulum Effect ] 
While you control an ""Amorphage"" monster, neither player can activate Spell Cards or their effects, except for ""Amorphage"" cards. Once per turn, during your Standby Phase, Tribute 1 monster or destroy this card.
[ Monster Effect ] 
If this card is Pendulum Summoned or flipped face-up, neither player can Special Summon monsters from the Extra Deck while this card is face-up on the field, except ""Amorphage"" monsters.",1350,0,2,EARTH
35486099,Crystal Blessing,Spell Card,"Target up to 2 ""Crystal Beast"" monsters in your Graveyard; place those targets face-up in your Spell & Trap Card Zone as Continuous Spell Cards.",,,,SPELL
41209827,Starving Venom Fusion Dragon,Fusion Monster,"2 DARK monsters on the field, except Tokens
If this card is Fusion Summoned: You can make this card gain ATK equal to 1 opponent's Special Summoned monster, until the end of this turn. Once per turn: You can target 1 Level 5 or higher monster your opponent controls; until the End Phase, this card's name becomes that monster's original name, and replace this effect with that monster's original effects. If this Fusion Summoned card is destroyed: You can destroy all your opponent's Special Summoned monsters.",2800,2000,8,DARK
76029419,D/D/D Supersight King Zero Maxwell,Pendulum Effect Monster,"[ Pendulum Effect ] 
You can target 1 face-up monster on the field; its DEF becomes 0 until the end of this turn (even if this card leaves the field). You can only use this effect of ""D/D/D Supersight King Zero Maxwell"" once per turn.
[ Monster Effect ] 
Before damage calculation, if this card attacks an opponent's Defense Position monster: You can change the DEF of that opponent's monster to 0 until the end of the Damage Step. If this card attacks a Defense Position monster, inflict piercing battle damage. You take no battle damage from battles involving this card.",2800,2500,7,DARK
20747792,Berry Magician Girl,Effect Monster,"If this card is Normal Summoned: You can add 1 ""Magician Girl"" monster from your Deck to your hand. Once per turn, during either player's turn, when your opponent activates a card or effect that targets this card, or targets this card for an attack: You can change this card's battle position, and if you do, Special Summon 1 ""Magician Girl"" monster from your Deck, except ""Berry Magician Girl"".",400,400,1,EARTH
24434049,Epurrely Plump,XYZ Monster,"2 Level 2 monsters
Once per turn: You can target up to 2 Spells/Traps in the GYs; attach them to this card as material. This is a Quick Effect if this card has ""Purrely Delicious Memory"" as material. Up to thrice per turn, when you activate a ""Purrely"" Quick-Play Spell Card (Quick Effect): You can attach that card on the field to this card as material, then you can banish 1 monster on the field until the End Phase.",200,2100,2,EARTH
76419637,CXyz Battleship Cherry Blossom,XYZ Monster,"4 Level 4 monsters
Once per turn, during your opponent's End Phase, if your opponent has more cards in their hand than you do: They discard 1 card. If this card has ""Battlecruiser Dianthus"" as an Xyz Material, it gains this effect.
● You can detach 1 Xyz Material from this card; inflict 300 damage to your opponent for each card on the field. You can only use this effect of ""CXyz Battleship Cherry Blossom"" once per turn.",2400,2000,4,EARTH
65892310,"Brionac, the Dragon of Icy Malevolence",Synchro Monster,"1 Tuner + 1+ non-Tuner monsters
If this card is Synchro Summoned: You can discard 1 card, then target 1 card on the field; return it to the hand. If this card is Special Summoned from the GY: You can discard 1 card, then target 1 card on the field; return it to the hand. You can only use each effect of ""Brionac, the Dragon of Icy Malevolence"" once per turn.",2300,1400,6,WATER
37926346,Steelswarm Roach,XYZ Monster,"2 Level 4 monsters
During either player's turn, when a Level 5 or higher monster would be Special Summoned: You can detach 1 Xyz Material from this card; negate the Special Summon, and if you do, destroy it.",1900,0,4,DARK
95403418,Starduston,Effect Monster,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by sending any number of ""Duston"" monsters you control to the Graveyard, and cannot be Special Summoned by other ways. This card's ATK and DEF each become equal to the number of monsters sent to the Graveyard for its Summon x 1000. Your opponent cannot Flip or Special Summon any monsters, or activate any Set Spell/Trap Cards on the field. If you control more monsters than your opponent does, destroy this card.",0,0,1,DARK
90743290,Hermit of Prophecy,Effect Monster,"Each time a ""Spellbook"" Spell Card is activated, increase this card's Level by 2 and ATK by 300.",1200,700,3,EARTH
20985997,"Detonator Circle ""A""",Trap Card,"Destroy 1 face-up monster with an A-Counter(s), and then inflict 1000 damage to each player.",,,,TRAP
56246017,Archfiend's Roar,Trap Card,"Pay 500 Life Points, then target 1 ""Archfiend"" monster in your Graveyard; Special Summon that target. It cannot be Tributed. Destroy it during the End Phase of this turn.",,,,TRAP
20073910,Amaterasu,Spirit Monster,"Cannot be Normal or Special Summoned. During either player's turn, when your opponent activates a card or effect that targets this face-down monster: You can change this card to face-up Defense Position; draw 1 card. If this card is flipped face-up: Banish all other cards on the field. Once per turn, during the End Phase, if this card was flipped face-up this turn: Return it to the hand.",3000,3000,9,LIGHT
99162522,EXTINGUISH!,Trap Card,"(This card is always treated as a ""Rescue-ACE"" card.)
If you control a ""Rescue-ACE"" monster: Target 1 Effect Monster your opponent controls; destroy it, then, if you currently control ""Rescue-ACE Hydrant"", your opponent cannot activate the effects of that destroyed monster, or of monsters with its same original name, this turn.",,,,TRAP
10736540,Lady of the Lake,Tuner Monster,"Cannot be used as a Synchro Material, except for the Synchro Summon of a Warrior-Type monster. If this card is used for a Synchro Summon, banish it. When this card is Normal Summoned: You can target 1 ""Noble Knight"" Normal Monster in your Graveyard; Special Summon that target. If this card is in your Graveyard: You can target 1 Level 5 ""Noble Knight"" monster you control; reduce its Level by 1, and if you do, Special Summon this card from the Graveyard.",200,1800,1,LIGHT
18654201,Criosphinx,Effect Monster,"When a monster is returned from the field to the owner's hand, the owner of the returned monster selects and sends 1 card in their hand to the Graveyard.",1200,2400,6,EARTH
82697249,Number 59: Crooked Cook,XYZ Monster,"2 Level 4 monsters
While you control no other cards on the field, this card is unaffected by other cards' effects. Once per turn, during either player's turn: You can detach 1 Xyz Material from this card; destroy as many other cards you control as possible, then this card gains 300 ATK until the end of this turn for each monster destroyed by this effect and sent to the Graveyard.",2300,200,4,FIRE
87685879,Sea Koala,Effect Monster,Once per turn: You can target 1 monster your opponent controls,100,1600,2,EARTH
73542331,Kashtira Shangri-Ira,XYZ Monster,"2+ Level 7 monsters
During each Standby Phase: You can Special Summon 1 ""Kashtira"" monster from your Deck. You can only use the previous effect of ""Kashtira Shangri-Ira"" once per turn. Each time a card(s) your opponent owns and possesses is banished face-down (except during the Damage Step): You can choose 1 unused Main Monster Zone or Spell & Trap Zone; it cannot be used while this monster is face-up on the field. If this card on the field would be destroyed by battle or card effect, you can detach 1 material from this card instead.",0,3000,7,FIRE
26708437,Xyz Reborn,Trap Card,"Target 1 Xyz Monster in your Graveyard; Special Summon it, and if you do, attach this card to it as an Xyz Material.",,,,TRAP
30829071,Amazement Ambassador Bufo,Effect Monster,"When this card is Normal Summoned: You can target 1 ""Attraction"" Trap in your GY and 1 face-up monster your opponent controls; equip that Trap to your opponent's monster. (Quick Effect): You can target 1 of your ""Attraction"" Traps equipped to a monster; equip it to 1 ""Amazement"" monster you control or 1 face-up monster your opponent controls. You can only use this effect of ""Amazement Ambassador Bufo"" once per turn.",1600,900,3,EARTH
27762803,Naturia Beetle,Effect Monster,Switch the original ATK and DEF of this card each time a Spell Card is activated.,400,1800,4,EARTH
14089429,Thunder Option Token,Token,"Special Summoned with the effect of ""Blue Thunder T-45"". This Token cannot be used as a Tribute for a Tribute Summon.",1500,1500,4,LIGHT
91588074,"Tierra, Source of Destruction",Effect Monster,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by shuffling 10 other cards with different names from your hand and/or field into the Deck and/or Extra Deck, and cannot be Special Summoned by other ways. This card's Special Summon cannot be negated. If this card is Special Summoned: Shuffle all cards into the Deck, except this card, from each player's hand, field, Graveyard, and face-up Pendulum Monsters from the Extra Deck. Neither player can activate cards or effects in response to this effect's activation.",3400,3600,11,LIGHT
3019642,Cyberdark Keel,Effect Monster,"If this card is Normal Summoned: Target 1 Level 3 or lower Dragon monster in your GY; equip that Dragon monster to this card. Gains ATK equal to the original ATK of the monster equipped to it by this effect. If this card destroys an opponent's monster by battle: Inflict 300 damage to your opponent. If this card would be destroyed by battle, destroy the monster equipped to it by its effect, instead.",800,800,4,DARK
94423983,Simul Archfiends,Trap Card,"This turn, neither player can Special Summon monsters with the same card types (Ritual, Fusion, Synchro, Xyz, or Link) they already control. If you do not control 2 or more of the same card types (Ritual, Fusion, Synchro, Xyz, or Link), all Ritual, Fusion, Synchro, Xyz, and Link Monsters you currently control gain 500 ATK. You can only activate 1 ""Simul Archfiends"" per turn.",,,,TRAP
28884172,Gagaga Mancer,Effect Monster,"Once per turn: You can target 1 ""Gagaga"" monster in your Graveyard, except ""Gagaga Mancer""; Special Summon it, also you cannot Special Summon monsters for the rest of this turn, except ""Gagaga"" monsters. If this card is detached from an Xyz Monster and sent to the Graveyard to activate that monster's effect: You can target 1 face-up Xyz Monster you control; it gains 500 ATK until the end of this turn.",100,100,4,DARK
17465972,Blackwing - Auster the South Wind,Tuner Monster,"Cannot be Special Summoned. When this card is Normal Summoned: You can target 1 of your banished Level 4 or lower ""Blackwing"" monsters; Special Summon it in Defense Position. You can banish this card from the GY to activate 1 of the following effects;
● Place Black Feather Counter(s) on 1 ""Black-Winged Dragon"" you control, equal to the number of card(s) your opponent controls.
● Place 1 Wedge Counter on each face-up monster your opponent controls that does not have one.",1300,0,4,DARK
57477163,Frightfur Sheep,Fusion Monster,"""Edge Imp Chain"" + 1 ""Fluffal"" monster
If this card battles, your opponent cannot activate cards or effects until the end of the Damage Step. If this card is destroyed by battle and sent to the Graveyard, or if this card in your possession is destroyed by an opponent's card effect and sent to your Graveyard: You can Special Summon this card, and if you do, it gains 800 ATK. You can only use this effect of ""Frightfur Sheep"" once per turn.",2000,2000,5,DARK
34923554,Infinitrack Drag Shovel,Effect Monster,"You can Tribute 1 EARTH Machine monster; Special Summon this card from your hand in Defense Position. You can banish 1 Machine monster from your GY; add 1 ""Spin Turn"" from your Deck to your hand. You can only use each effect of ""Infinitrack Drag Shovel"" once per turn.",1500,2100,5,EARTH
57201737,Leodrake's Mane,Spell Card,"Select 1 face-up ""Naturia"" monster you control. Its ATK becomes 3000, and its effects are negated, until the End Phase.",,,,SPELL
79571449,Graceful Charity,Spell Card,"Draw 3 cards, then discard 2 cards.",,,,SPELL
80141480,Hunter Spider,Normal Monster,This monster feeds on whatever it catches in its web.,1600,1400,5,EARTH
46173679,Fires of Doomsday,Spell Card,"Special Summon 2 ""Doomsday Tokens"" (Fiend/DARK/Level 1/ATK 0/DEF 0) in Defense Position. They cannot be Tributed for a Tribute Summon, unless it is for a DARK monster. You cannot Summon other monsters the turn you activate this card (but you can Normal Set).",,,,SPELL
